# number	english	chinese
765	control	控制；支配支配；控制
766	controlling	管理的；控制的
767	convenience	便利；方便
768	convenient	便利的： 方便的
769	convention	會議；大會；集合
770	conventional	習慣的；慣例的
771	conversation	會話；對話
772	convey	告知；傳達
773	conviction	定罪；確信
774	convince	說服
775	cooperation	合作；協力
776	coordinate	協調；調節
777	cope	應付；處理
778	copy	抄寫；複製抄寫；副本
779	cordially	熱誠地；誠摯地
780	corner	角落
781	corporate	全體的；共同的企業；集團
782	correct	正確的；對的改正；糾正
783	corrupt	腐敗的，貪汙的墮落；腐化
784	corruption	墮落；腐化
785	cost	花費；付出費用；成本
786	council	會議；議事
787	counsel	商議；審議勸告；忠告
788	counter	反方向地，相反地相反的反對；反擊
789	couple	情侶；夫妻
790	coupon	贈券；減價優待券
791	courier	信差；導遊；情報員
792	course	路線；方向；課程；系列
793	court	法庭；法院
794	courteously	有禮貌地；親切地
795	courtesy	禮貌；殷勤
796	cover	遮蓋；覆蓋遮蓋物；封面
797	coverage	覆蓋；覆蓋範圍
798	crack	裂縫；裂痕裂開；爆裂
799	craft	工藝，手藝精巧地製作
800	crafted	製作的；工藝的
801	crane	鶴伸著脖子看
802	crash	碰撞；倒下墜毀，迫降
803	create	創造；製作
804	creation	作品；製作物
805	creative	有創意的：創新的
806	creativity	創意；創造力
807	creature	生物；動物
808	credential	憑據；證書
809	credible	可信的；可靠的
810	credit	賒帳；信譽；功勞相信；把⋯⋯歸於
811	creditor	債權人；貸方
812	crew	工作人員；船員
813	crime	犯罪；罪刑
814	criminal	罪犯犯罪的；犯法的
815	crisis	困難；危及
816	criterion	標準；準則
817	critic	評論家
818	critical	批判的；評論的
819	criticize	批判；評論
820	crop	作物：莊稼播種
821	cross	橫穿；渡過十字形；十字架
822	crowd	群眾；觀眾
823	crowded	擁擠的；滿的
824	crucial	重要的；嚴酷的
825	cruise	巡航；航遊巡航；航遊
826	cuisine	烹飪；烹調法；菜餚
827	cupboard	食櫥；碗櫃
828	cure	治療；痊癒治癒
829	curious	好奇的
830	currency	通貨；貨幣
831	current	現時的；當前的流動；水流
832	cushion	墊子；坐墊
833	custom	習俗；慣例訂做的；訂製的
834	customer	顧客；買主
835	customize	訂做；客製化
836	customs	關稅；海關
837	cutback	減少；剪修新芽
838	cycle	週期；循環循環；輪轉
839	daily	每日的；日常的
840	damage	損害；損失損害；毀壞
841	danger	危急；危險
842	dangerous	危險的
843	dare	敢；竟敢敢；膽敢果敢行為；挑戰
844	daring	大膽的；勇敢的
845	data	資料；數據
846	database	資料庫
847	dawn	黎明，拂曉破曉；（天）剛亮
848	day	一天；日；白天
849	daylight	日光；白晝
850	date	日期；日子註有日期
851	daytime	白天；白晝
852	dazzle	使目眩；使眼花耀眼；燦爛
853	deadline	截止期限；最後限期
854	deal	經營；交易交易
855	dealer	業者；商人
856	dealing	行為；商業往來
857	dean	教務長；學院院長
858	dear	親愛的；摯愛的
859	debatable	可爭辯的；可爭論的
860	debate	辯論；爭論辯論
861	debit	借方把⋯⋯記入借方
862	debt	債務；借款
863	debut	首次露面；初次登臺
864	decade	十；十年
865	decease	亡故死亡
866	deceit	欺騙；欺詐
867	deceitful	騙人的；欺詐的
868	deceive	欺騙；蒙蔽
869	decelerate	減緩；降低速度
870	deceleration	減速
871	decent	正派的；合乎禮儀的
872	decide	決定；決意
873	decipher	破解（密碼等）；解釋（古代文字等）
874	decision	決心；判斷
875	decisive	決定性的；決定的
876	deck	艙面；甲板
877	declaration	宣告；宣言
878	declare	宣告；聲明
879	decline	下降；下跌下降；減少
880	decode	譯解（密碼）
881	decrease	減；減少
882	dedicate	奉獻；獻身
883	dedication	奉獻；供奉
884	deduce	演繹；推論
885	deduct	扣除；減除
886	deduction	扣除；減除
887	deem	認為；以為
888	deep	深的深深地深處
889	deepen	使變深；使加深；使強烈
890	default	違約；拖欠；預設不履行；拖欠
891	defeat	戰勝；擊敗戰敗；挫折
892	defect	缺點；缺陷逃跑；脫離
893	defend	防衛；保護
894	defense	防衛；保護
895	defensive	防衛的；保衛的
896	deficiency	不足；缺乏
897	definite	明確的；確切的
898	deflate	抽出⋯⋯中的氣
899	deflect	使偏斜；使轉向
900	defy	公然反抗；蔑視
901	degree	度，度數；程度
902	delay	拖延；耽擱延遲；耽擱
903	delegate	委派⋯⋯為代表；委派（某人）做
904	deliberate	深思熟慮的；慎重的仔細考慮；思考
905	deliberately	慎重地；謹慎地
906	delicacy	精美；佳餚
907	delicate	易碎的；嬌貴的；纖弱的
908	delicious	美味的；香噴噴的
909	delight	欣喜；愉快高興；喜愛
910	deliver	投遞；傳送
911	delivery	投遞；傳送
912	delusion	迷惑；欺騙
913	demand	要求，請求要求；請求
914	demise	死亡；終止轉讓；遺贈
915	demographics	人口統計資料
916	demolish	毀壞；破壞
917	demonstrate	論證；證明；示威
918	demonstration	論證；證明
919	denial	否認；否定
920	dense	密集的，稠密的
921	density	密集度；稠密度
922	deny	否定，否認
923	depart	起程，出發
924	department	部；司；局；處；科
925	departmental	部門的；分部的
926	departure	離開；出發
927	depend	相信；信賴
928	dependency	依靠；信賴
929	dependent	依靠的；依賴的
930	depict	描述；描寫
931	deposit	放置；寄存存款
932	depression	沮喪；意氣消沉
933	describe	描繪；敘述
934	description	敘述；形容
935	deserve	應受；該得
936	design	設計構思；繪製圖樣；圖紙
937	despite	不管；儘管惡意；怨恨
938	destination	目的地；終點
939	destroy	毀壞；破壞
940	destruction	毀壞；破壞
941	detail	細節；詳情詳述；詳細說明
942	detailed	詳細的；精細的
943	detect	探測；察覺
944	determine	決定；下決心
945	develop	開發：發展
946	developer	開發者
947	development	進化；發展
948	device	設備；機器
949	devise	設計；發明
950	dial	撥打；撥
951	diary	日記；日誌
952	dictate	口授；口述
953	diet	飲食；食物節食
954	dietician	營養學家
955	difference	差別；差異
956	different	不同的；有差異的
957	difficult	困難的；艱難的
958	difficulty	困難；困境
959	digital	數位的
960	dignity	尊嚴；自尊
961	diligent	勤勉的，勤奮的
962	direct	指向；針對徑直的；筆直的
963	directly	直接地；筆直地
964	director	導演；主管；署長
965	directory	工商名錄；號碼簿指導的；諮詢的
966	disagree	不一致；不符
967	disappear	消失；離開
968	discard	拋棄；摒棄
969	discern	分辨；識別
970	discipline	紀律；風紀
971	disclaimer	放棄；拒絕
972	discount	折扣打折扣
973	discourage	使洩氣；使沮喪
974	discouraged	灰心的；沮喪的
975	discouragement	沮喪；氣餒
976	discover	發現；探索
977	discuss	討論；交流
978	discussion	討論；交流
979	disease	病，疾病使生病；使不健全
980	disembark	登陸；上岸
981	dismal	憂鬱的；沉悶的沮喪；抑鬱
982	dismiss	讓⋯離開；把⋯打發走
983	dispense	分配，分發免除；省掉
984	display	陳列；展出展覽；陳列
985	disposal	處理；處置
986	dispose	配置，布置
987	dispute	爭論；爭執爭論；爭執
988	disrupt	使分裂；使瓦解破裂的；中斷的
989	dissipate	使消散；消除
990	distinctive	有特色的；特殊的
991	distinguish	區別；識別
992	distract	轉移；分散
993	distributor	分配者；批發商
994	disturb	打擾
995	diverse	不同的；多元的
996	diversification	多樣化
997	diversity	差異；不同點
998	divert	轉向；轉移
999	divide	分；劃分分歧；不和
1000	division	分開；分割
1001	doctor	醫生
1002	document	公文；文件
1003	documentation	文件；憑證
1004	domestic	家庭的；國內的
1005	dominate	支配；統治
1006	donate	捐獻；捐款
1007	donation	捐獻；捐款
1008	dot	點，小圓點打點；加點
1009	dotted	有點子的；星羅棋布的
1010	doubt	懷疑；揣測
1011	download	下載
1012	downsize	裁減
1013	downsizing	縮減開支
1014	downtown	商業區，鬧區
1015	downward	向下的；下降的向下；日趨沒落地
1016	draft	草稿；手稿
1017	drama	戲劇；劇本
1018	drastic	激烈的；猛烈的
1019	drastically	大大地；徹底地
1020	draw	繪製；描寫；拉平局；抽籤
1021	drawer	抽屜
1022	dress code	穿衣法則；著裝標準
1023	drift	漂流；漂
1024	drive	駕駛；開車
1025	drug	藥物；藥
1026	due	應支付的；到期的應付款；稅金
1027	duplicate	複製品；副本完全一樣的；複製的
1028	durable	經久的，耐用的；持久的
1029	duration	持久；持續期間
1030	during	在⋯的整個期間
1031	duty	職務；勤務
1032	dynamic	動力的；充滿活力的
1033	each pron 各個;每個	各；每
1034	eager	熱心的；熱切的
1035	earn	掙得；博得
1036	earnings	收入；薪資
1037	ease	減輕，緩和舒適；悠閒
1038	east	東方；東
1039	easy	簡單的；輕易的
1040	eco-friendly	對環境友善的
1041	economical	經濟的；節儉的
1042	economize	節約；節省
1043	economy	節約；經濟廉價的；經濟的
1044	edge	稜；邊緣使漸進；徐徐地移動
1045	edit	編輯；校訂
1046	editor	編輯
1047	editorial	社論編輯的
1048	education	教育
1049	effect	造成；產生效果；效力
1050	effective	有效的；生效的
1051	efficiencyn	效率；效能；功效
1052	efficient	效率高的；有能力的
1053	effort	努力；盡力
1054	either	任一的 pron （兩者之中）任何一個
1055	eject	逐出；轟出
1056	elaborate	精心製作；詳盡闡述
1057	elder	年長的
1058	elect	選舉；推選
1059	election	選舉；推選
1060	electric	電的；導電的
1061	electrician	電工；電氣技師
1062	electricity	電力
1063	electronic	電子的；電子操縱的
1064	elegance	優雅
1065	elegant	優雅的
1066	element	元素；構成
1067	elemental	基本的；原始的
1068	elementary	基本的；初級的
1069	elevate	舉起；抬起
1070	elevation	提高；提升
1071	elevator	電梯
1072	eligible	有資格當選的；法律上合格的
1073	eliminate	排除；消滅
1074	elimination	排除；消滅
1075	elite	精華；菁英
1076	else	其他；另外
1077	elsewhere	在別處；往別處
1078	embark	從事；著手
1079	embrace	擁抱；包括
1080	emerge	浮現；出現
1081	emergency	緊急情況；突然事件
1082	emit	散發；放射
1083	emotion	情感；情緒
1084	empathy	同感
1085	emphasis	強調；重視
1086	emphasize	強調；重視
1087	employ	僱用；使用
1088	employee	員工
1089	employer	雇主
1090	employment	僱用；受僱
1091	emulate	同⋯競爭；盡力趕上
1092	enable	使能夠；賦予⋯能力
1093	enclose	圍住；圈起
1094	enclosure	圍住；封入
1095	encounter	遭遇；衝突遭遇；遇到
1096	encourage	鼓勵；鼓舞
1097	encouragement	鼓勵；鼓舞
1098	endanger	危及；使遭到危險
1099	endeavor	努力；力圖努力；盡力
1100	endorsement	背書；贊同
1101	endure	忍耐；忍受
1102	energetic	精力旺盛的；- 精神飽滿的
1103	energy	活力；幹勁
1104	enforce	實施；執行
1105	engage	吸引；佔用
1106	engagement	訂婚；婚約
1107	engine	引擎
1108	engineer	工程師
1109	enhance	提高；升高
1110	enlarge	擴大；擴展
1111	enlargement	擴大；擴展
1112	enlist	從軍；入伍
1113	enrich	使富裕；使豐富
1114	enrichment	致富；豐富
1115	enroll	記入名冊；被登記
1116	ensure	保證；擔保
1117	enterprise	企業；公司
1118	entertain	娛樂；款待
1119	entertainer	請客者；表演者
1120	entertainment	演藝；餘興
1121	enthusiasm	熱忱
1122	enthusiastic	熱忱的；熱血的
1123	entire	全部的；整個的全部；整體
1124	entirel	全部地；整個地
1125	entitle	給⋯權力（或資格）
1126	entitled	給予權利；使有資格
1127	entrance	入口；門口
1128	entrust	信託；委託
1129	entry	入場；參加
1130	environment	環境
1131	environmental	環境的
1132	envision	想像；展望
1133	equal	平等的；均等的
1134	equality	平等；相等
1135	equip	裝備；配備
1136	equipment	裝備；配備
1137	equity	公平；公正
1138	equivalent	相等的；相同的
1139	error	錯誤；失誤
1140	escort	護送；陪同護衛隊；護航隊
1141	especially	特別；尤其
1142	essay	論文；散文
1143	essence	本質；實質
1144	essential	必要的；不可缺的
1145	establish	建立；設立
1146	establishment	建立；設立
1147	estate	財產；資產
1148	esteem	尊重；尊敬尊重；尊敬
1149	estimate	估算；估量
1150	eternal	永恆的；永久的
1151	ethic	倫理；道德
1152	ethical	倫理的；道德的
1153	ethics	倫理學；道德學
1154	evade	躲避；逃避
1155	evaluate	估價；評價
1156	evaluation	估價；評價
1157	evasive	逃避的；託辭的
1158	even	平的；平坦的甚至；連使平坦
1159	event	事件；大事
1160	eventual	最終的；最後的
1161	evidence	證據；證詞
1162	evident	明顯的；明白的
1163	evoke	喚起；引起
1164	evolve	逐步形成；發展
1165	exact	正確的；精準的
1166	exaggerate	誇大；誇張
1167	exaggeration	誇大： 誇張
1168	exam	考試；測驗
1169	examination	考試；測驗
1170	examine	檢驗；測試
1171	examiner	主考人；檢查人
1172	example	範例；示範
1173	exceed	超過；勝過
1174	excel	勝過；優於
1175	excellent	出色的；傑出的
1176	except	除⋯⋯之外除了把⋯⋯除外
1177	exception	例外；例外的人
1178	excess	超越，超過過量的；額外的
1179	exchange	交換；調換交換；調換
1180	excite	刺激；使興奮
1181	exclude	排除在外；不包括
1182	exclusion	排斥；排除在外
1183	exclusive	排外的；除外的
1184	exclusively	專門地；專有地
1185	execute	實施；處死
1186	executive	執行的；實施的執行者；行政官
1187	exert	運用；行使
1188	exhibit	展示，陳列展示品；陳列品
1189	exhibition	展覽；展示
1190	exist	存在；生存
1191	existence	存在；實在
1192	exit	出口；通道出去；離去
1193	expand	展開；張開
1194	expansion	擴展；擴張
1195	expect	期待；預期
1196	expectation	期待；預期
1197	expedite	迅速執行；促進
1198	expel	驅逐；趕走
1199	expenditure	消費；支出
1200	expense	費用；價錢
1201	expensive	高價的；昂貴的
1202	experience	經驗；經歷
1203	experiment	實驗；試驗進行實驗；試驗
1204	expert	專家；能手熟練的；老練的
1205	expertise	專門知識；專長
1206	expiration	終結；期滿
1207	expire	屆期；終止
1208	explain	解釋；說明
1209	explanation	解釋；說明
1210	explode	爆發；爆炸
1211	explore	探險；挖掘
1212	explorer	探險者
1213	explosion	爆發；爆炸
1214	export	輸出；出品
1215	expose	使暴露於；使接觸到
1216	exposure	暴露；揭露
1217	express	表達，陳述快遞的快遞；快運
1218	expression	表達；表示
1219	extend	延長，延伸
1220	extension	伸展；伸長
1221	extensive	廣大的；廣闊的
1222	extent	廣度；程度
1223	extra	額外的
1224	extract	抽出（物）；採掘
1225	extraordinary	異常的；特別的
1226	fabric	布料；織布
1227	fabricate	製造；偽造
1228	face	臉；面孔面向；正對
1229	facial	臉的；面部的
1230	facilitate	促進；幫助
1231	facilitator	促進者；便利措施
1232	facility	設施；配備
1233	facto	因素；成因
1234	factory	工廠
1235	fail	失敗；不及格失敗；不及格
1236	failure	失敗；挫敗
1237	fair	公平的公平地；公正地集市
1238	fairly	公平地；公正地
1239	faith	信念；信任
1240	faithful	忠實的；忠誠的
1241	falter	蹣跚；踉蹌動搖；猶豫
1242	familiar	眾所周知的；熟悉的
1243	familiarity	熟悉；通曉
1244	familiarize	使熟悉；使親近
1245	fare	票價過活；遭遇
1246	farewell	告別；告別辭
1247	farm	農場
1248	fascinate	迷住；使神魂顛倒
1249	fascination	魅力；陶醉
1250	fashion	時尚
1251	fashionable	流行的；時尚的
1252	fast	快速的；迅速的
1253	fasten	紮牢；繫緊
1254	fatal	命運的；決定命運的
1255	fate	命運；天命命定；注定
1256	father-in-law	岳父
1257	fatigue	疲勞；勞累疲勞
1258	fault	錯誤；失誤
1259	faulty	有缺點的；不完美的
1260	favor	幫助；善意的行為支持；擁護
1261	favorable	贊同的；稱讚的
1262	favorite	喜愛的；喜歡的
1263	fax	傳真
1264	fear	恐懼；害怕害怕；畏懼
1265	feasibility	可行性；可能性
1266	feasible	可行的；可實行的
1267	feast	盛宴；筵席
1268	feat	功績；業績
1269	feature	特徵；特色以⋯⋯為特色；是⋯⋯的特色
1270	federal	國家的；聯邦的
1271	fee	酬金；服務費付費
1272	feed	飼料；牧草餵；飼養
1273	feedback	回饋
1274	fellow	同伴的；同事的傢伙；人
1275	fellowship	夥伴關係；交情
1276	female	女性女性的
1277	feminine	女性的；婦女的
1278	ferry	渡過；運送擺渡；渡輪
1279	fertility	肥沃；豐富
1280	fertilize	使肥沃；施肥
1281	fertilizer	肥料
1282	festival	節日節日的
1283	fetch	拿來；拿給
1284	fever	發燒，發熱發燒；高度興奮
1285	fiber	纖維；纖維製品
1286	fiction	小說；虛構
1287	field	原野；田地
1288	fierce	兇猛的；殘酷的；好鬥的
1289	fight	戰鬥；打鬥戰鬥；打鬥
1290	figure	外形；體形計算；認為
1291	file	文件夾歸檔提出
1292	fill	裝滿；填滿
1293	film	膠捲影片；影片
1294	filter	濾器過濾；濾除
1295	final	最後的；最終的決賽；期末考
1296	finalize	完成；結束
1297	finance	財政；金融
1298	financial	財政的；金融的
1299	finish	結束；完結
1300	finite	有限的
1301	fire drill	火災避難訓練；消防演習
1302	firm	穩固的；牢固的
1303	fiscal	財政的；金融的
1304	fit	合身；適合適合的；健康的
1305	fitnes	健康；適當
1306	fix	修理；修復
1307	fixation	固定；注視
1308	fixture	（房屋等的）固定裝置
1309	flaw	裂縫；缺點使破裂；使有缺陷
1310	flawed	有缺點的；錯誤的
1311	flawless	無瑕的；完美的
1312	flexibility	靈活性；彈性
1313	flight	班機；航班
1314	fluctuate	波動；變動
1315	fluctuation	波動；變動
1316	fluency	流暢
1317	fluent	流暢的；順暢的
1318	focus	焦點；焦距聚焦
1319	fold	折；折疊
1320	folder	資料夾
1321	forecast	預報；預測預報；預測
1322	foreign	外國的；陌生的
1323	foremost	最前的；最先的首先
1324	foresee	預見；預知
1325	form	形狀；外形形成；構成
1326	formal	正式的；禮節上的
1327	format	格式
1328	formatted	格式化了的
1329	formula	公式
1330	formulate	使公式化；用公式表示
1331	fortunate	幸運的；僥倖的
1332	fortunately	幸運地；僥倖地
1333	fortune	財產；好運
1334	forum	討論會；論壇
1335	forward	向前前面的轉交；發送
1336	foundation	建立；創辦；基金會
1337	founder	創辦人
1338	fraction	片段；碎片
1339	frame	架構；骨架建造；塑造
1340	framework	構造；機構
1341	franchise	特許經銷權；公民權
1342	franchisor	特許授予人
1343	frank	坦白的；直率的
1344	frankly	率直地；坦白地
1345	fraud	欺騙；詭計
1346	fraudulent	欺詐的；欺騙的
1347	free	自由的；免費的免費地；無約束地使自由；解放
1348	freedom	自由
1349	freight	貨物裝貨於；運輸
1350	frequency	頻率
1351	frequent	頻繁的
1352	frequently	頻繁地
1353	frighten	驚恐；害怕
1354	fuel	燃料加燃料；加油
1355	fueled	加燃料的
1356	fulfill	執行；履行
1357	fulfillment	履行；實現
1358	function	功能；作用工作；運行
1359	functioning	運作的
1360	fund	資金
1361	fundamental	基礎的；根本的基本原則
1362	funding	資金；基金
1363	fundraiser	資金籌集人
1364	furniture	傢俱；設備
1365	further	更遠的更遠地促進；助長
1366	gamble	賭博；打賭賭博；打賭
1367	gap	裂開缺口；隔閡
1368	garbage	垃圾
1369	garment	服裝；衣著
1370	gasoline	汽油
1371	gas	氣體；瓦斯
1372	gate	大門；柵欄門
1373	gatekeeper	看門人；守門員
1374	gather	收集；召集聚集；收穫量
1375	gathering	集會；聚集
1376	gear	工具；設備使適應；使適合
1377	gender	性別
1378	general	普通的；一般的
1379	generally	通常；一般地
1380	generate	產生；發生
1381	generation	世代；一代
1382	generosity	慷慨；大方
1383	generous	慷慨的
1384	genius	天才；天資
1385	gentle	紳士的
1386	gentleman	紳士
1387	genuine	真誠的；不造作的
1388	geographic	地理學的；地理的
1389	geography	地理；地理學
1390	germ	微生物；細菌
1391	gesture	姿勢；手勢
1392	getaway	逃走；起步
1393	giant	巨人巨人般的；巨大的
1394	gift	禮物；天賦
1395	gifted	有天資的；有天賦的
1396	gift-wrap	用包裝紙包裝
1397	glamor	魅力；魔力
1398	glance	掃視；瞥見
1399	glitch	小故障；失靈
1400	global	球狀的；全世界的
1401	globe	球狀物；地球
1402	gloom	黑暗；陰暗使暗；使陰沉
1403	glorify	讚美；美化
1404	glory	光榮；榮譽
1405	glossary	詞彙表；術語
1406	glove	手套
1407	glow	發光；發熱
1408	goodwill	善意；好心
1409	gorgeous	燦爛的；華麗的
1410	gossip	閒話；聊天閒聊
1411	govern	統治；管理
1412	government	政府
1413	grab	抓取；拾取
1414	grace	優雅
1415	graceful	優雅的
1416	grade	成績；等級
1417	gradual	逐漸的；逐步的
1418	gradually	逐漸地
1419	graduate	准予畢業；授與學位
1420	grand	雄偉的；堂皇的
1421	grant	同意；允許
1422	graph	圖表；圖解
1423	grasp	抓牢；握緊抓；握
1424	grateful	感激的；感謝的
1425	gratitude	感恩；感謝
1426	gratuity	賞錢；小費
1427	gravity	重力；引力
1428	greed	貪心
1429	greenhouse	溫室；暖房
1430	grin	露齒而笑；齜牙咧嘴
1431	grip	緊握；夾住
1432	grocer	食品雜貨商
1433	grocery	食品雜貨店
1434	groom	新郎打扮；穿戴
1435	gross	總的；顯著的總額；總量
1436	ground	地面；土地
1437	groundbreaking	開創性的
1438	grow	成長；生長
1439	growth	成長；發育
1440	guarantee	保證；保固保證；保固
1441	guard	哨兵；衛兵防範；警惕
1442	guardian	守護者；管理員
1443	guess	猜測；臆測
1444	guest	賓客；客人
1445	guidance	引領；帶領
1446	guide	引領；帶領響導；指導
1447	guidebook	旅行指南
1448	guideline	指導方針
1449	guilt	罪惡；過失
1450	guilty	有罪的；罪惡的
1451	gym	體育館：體操
1452	gymnasium	體育館；體操
1453	habit	嗜好；興趣
1454	habitat	棲息地；產地
1455	habitual	習慣的
1456	hack	劈；砍
1457	haircut	髮型；理髮
1458	hairdresser	美髮師
1459	half	一半一半的一半地
1460	halfway	中途的中途地
1461	hall	會堂；大廳
1462	hallmark	品質證明；戳記
1463	hallway	玄關；門廳
1464	halt	暫停；停止停止；終止
1465	handbag	手提包
1466	handbook	手冊；旅行指南
1467	handful	一把；一握
1468	handicap	障礙，殘障
1469	handle	操作；操縱
1470	handling	操作；管理
1471	handout	施捨物；傳單；印刷品
1472	handshake	握手
1473	harbor	港灣；海港庇護；藏匿
1474	hardly	幾乎不；簡直不
1475	hardware	器件；器具
1476	harm	傷害；危害傷害；危害
1477	harmful	有害的；不良的
1478	harmony	和睦；融洽
1479	harvest	收成；產量收成；產量
1480	hasty	匆忙的；急忙的
1481	hazard	危險；危害物冒險作出；嘗試
1482	hazardous	有危險的；冒險的
1483	headline	標題；大標題
1484	headquarter	總部
1485	heal	癒合；痊癒
1486	health	健康
1487	healthy	健康的；健全的
1488	hear	聽見；聽
1489	heat	熱度；熱烈變熱；發熱
1490	heater	加熱器；暖氣機
1491	heel	腳後跟
1492	height	高度；海拔
1493	helmet	帽盔；安全帽
1494	help	幫助補救；治療
1495	helpful	有幫助的；有益的
1496	hemisphere	半球；半球體
1497	hence	因此；由此
1498	herd	畜群；牧群放牧
1499	heritage	遺產；命運
1500	hesitate	躊躇；猶豫
1501	hesitation	躊躇；猶豫
1502	hidden	隱藏的；隱祕的
1503	hide	隱藏
1504	high	高的；高級的高聲地，在高處
1505	highway	公路；幹道
1506	hike	健行；遠足
1507	hilarious	可笑的；荒謬的
1508	hinder	妨礙；阻礙
1509	hint	暗示暗示；示意
1510	hire	僱用租用；僱用
1511	hobby	興趣；癖好
1512	hold	握著；抓住掌握；支配
1513	hole	洞；破洞鑿洞於；穿孔於
1514	holiday	節日；假日
1515	home	家庭；家庭生活在家；回家家庭的
1516	homesick	思家的
1517	hometown	故鄉；家鄉
1518	honest	誠實的；正直的
1519	honesty	誠實；正直
1520	honor	榮譽；名譽
1521	honorary	榮譽的; 名譽的
1522	hopeful	有希望的；有前途的
1523	hopeless	無望的；沒有辦法的
